,country_code,country,year,overall_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
0,FIN,Finland,2023,86.76059478,99.575,60.88675,95.38638462,97.16933333,92.11125,94.3276,93.0135,86.789,95.99571429,98.4685,91.23375,60.05957143,68.79366667,87.928,85.07,92.52109091,75.601
1,SWE,Sweden,2023,85.98139698,98.8885,63.074125,96.904,99.76166667,91.44025,95.0576,97.9735,84.96642857,97.58628571,94.965,90.38925,56.83057143,70.031,69.34866667,80.1882,88.50845455,85.77025
2,DNK,Denmark,2023,85.68363681,99.2155,71.02525,95.3985,99.33966667,86.998,90.7316,87.7305,87.56242857,96.98485714,98.156,93.0385,44.57171429,60.78066667,76.30333333,92.7924,93.84490909,82.148
3,DEU,Germany,2023,83.35844651,99.5105,72.366,93.03935714,97.16266667,81.92025,88.4434,77.16175,86.96728571,95.78842857,88.147,90.0965,55.41285714,64.002,73.996,79.2318,89.45754545,84.39025
5,FRA,France,2023,82.04834271,99.7285,72.390125,93.22457143,99.63,87.82325,89.2696,78.6155,85.306,92.77585714,87.4735,90.5295,60.51542857,73.83466667,65.6775,68.8246,76.09172727,73.1115
6,NOR,Norway,2023,82.00448915,99.2225,60.794875,97.11514286,97.98733333,92.87925,83.6618,98.53825,85.93242857,92.443,99.406,91.16475,39.77528571,20.685,74.579,74.1232,91.742,94.0265
8,POL,Poland,2023,81.80017556,99.0405,67.4935,85.16946154,97.4505,73.14575,84.3816,71.18575,86.86428571,80.272,93.3845,87.79975,74.13328571,75.28033333,72.1365,92.8682,77.37281818,72.62425
9,EST,Estonia,2023,81.68334647,99.9835,63.176,89.497,96.052,76.77775,84.074,77.99125,82.15542857,83.31514286,89.102,90.48225,52.60814286,61.46033333,87.50483333,96.1456,91.02390909,67.26775
10,GBR,United Kingdom,2023,81.65314272,98.9565,68.3895,93.07633333,98.193,84.10475,94.3934,74.77475,83.99028571,91.82385714,71.4835,91.3135,63.475,70.944,76.065,86.1742,81.0501,59.89575
11,HRV,Croatia,2023,81.49550882,99.9905,74.26,86.35785714,95.655,71.105,86.357,83.19925,82.74442857,74.67928571,94.184,80.7355,68.32542857,83.50566667,84.61133333,88.1698,72.1061,59.4375
12,SVN,Slovenia,2023,81.00665366,99.401,66.608875,92.35528571,95.61125,77.04125,87.8138,80.1565,84.89914286,80.81085714,100.0,85.64666667,54.059,69.11766667,71.2948,83.5722,80.51381818,68.211
13,LVA,Latvia,2023,80.68164288,99.9835,64.230125,84.30464286,97.83275,77.47225,89.1842,88.85275,84.46985714,77.00385714,72.641,86.69125,58.84042857,71.67533333,84.02616667,97.849,82.13981818,54.391
15,ESP,Spain,2023,80.42509149,98.739,65.396625,94.23785714,97.4235,86.8665,87.3514,78.07425,79.36557143,90.24685714,81.36,91.88475,67.94171429,80.19866667,59.525,66.423,79.23936364,62.9525
16,IRL,Ireland,2023,80.14793835,99.947,67.66175,94.441,98.985,77.6815,82.9052,74.77625,87.04242857,86.47328571,90.3215,90.78375,45.85842857,54.05266667,72.60933333,88.6492,89.11990909,61.20675
17,PRT,Portugal,2023,80.01748718,99.9375,64.283,92.07335714,98.59225,84.22075,80.2702,83.45875,81.20557143,82.21685714,84.41,88.016,67.41828571,84.10766667,49.38916667,73.9162,80.88272727,65.899
18,BEL,Belgium,2023,79.45505844,99.453,71.22025,93.39183333,95.31666667,87.83575,70.5962,73.97,84.28071429,97.10128571,100.0,88.14575,44.93885714,52.888,56.674,81.7988,85.76263636,67.36225
19,NLD,Netherlands,2023,79.42118915,99.265,67.65225,95.67085714,99.293,85.1,87.1896,72.01725,86.26257143,93.41057143,89.793,92.89725,47.65214286,43.279,55.329,77.8632,86.66627273,70.81925
20,JPN,Japan,2023,79.41412774,99.2955,75.177625,94.57407692,93.93433333,61.6995,84.9298,72.6325,88.19614286,94.40028571,80.5195,84.20966667,66.05957143,73.465,55.83783333,63.1462,86.32163636,75.641
23,ITA,Italy,2023,78.78683607,97.5035,69.82725,93.86342857,94.19,74.34975,80.8128,76.86225,79.86285714,87.505,77.905,74.64,71.55057143,79.86833333,62.645,79.9102,72.92127273,65.159
25,CAN,Canada,2023,78.49677968,99.6005,63.535,93.87384615,99.39966667,83.909,86.1186,80.28025,84.589,87.27514286,89.331,90.62975,51.69214286,39.61833333,62.1045,60.78,81.78427273,79.92425
27,GRC,Greece,2023,78.36883446,99.2315,66.624875,90.32485714,97.13575,65.4365,87.651,76.40125,73.79314286,81.571,84.6125,85.57775,64.80957143,80.218,65.81916667,81.1728,71.08127273,60.80925
28,ISL,Iceland,2023,78.26644181,99.8645,53.48428571,96.40807143,98.09333333,94.02166667,59.7898,99.55075,77.66766667,87.427,100.0,86.7695,37.72942857,51.42333333,62.7778,54.3635,93.836625,77.32225
29,CHL,Chile,2023,78.22377122,96.352,71.542875,88.39514286,97.76625,77.73075,89.3798,81.2805,84.06914286,75.332,25.493,85.52425,77.751,82.279,80.1826,61.1478,69.785,85.793
30,KOR,"Korea, Rep.",2023,78.06195027,99.4785,82.902125,92.78361538,92.33125,66.30325,74.0228,70.5735,85.52114286,99.12885714,82.632,87.03233333,73.10371429,69.745,55.42816667,54.1298,77.8756,64.0615
31,URY,Uruguay,2023,77.73837361,98.4625,67.56225,84.73392857,90.70775,76.3755,75.793,97.52225,84.24171429,59.87171429,51.8315,92.535,70.79157143,92.45266667,60.00066667,59.0504,78.12727273,81.49266667
34,ROU,Romania,2023,77.46052633,98.581,72.9345,80.58042857,84.5695,55.135,76.2582,76.434,83.16857143,69.40671429,77.2185,85.27025,79.174,87.21733333,86.6624,79.5096,73.4457,51.26325
36,LTU,Lithuania,2023,76.80511203,99.9835,59.638,86.08364286,98.1385,75.914,78.8314,69.94325,81.09857143,75.52928571,70.889,82.81975,46.879,58.388,81.9862,95.2836,84.76445455,59.51675
38,USA,United States,2023,75.91439705,98.8635,68.605375,88.67678571,93.91233333,76.791,83.6262,73.51125,81.904,97.83,57.469,89.34625,59.90742857,52.51833333,65.65916667,60.4094,68.58472727,72.93
39,AUS,Australia,2023,75.90411851,99.3485,58.37025,95.21628571,89.56833333,82.0105,93.8984,72.20175,86.67157143,92.22671429,79.1725,88.232,52.33628571,16.85833333,65.944,62.621,83.12809091,72.5655
40,MLT,Malta,2023,75.52944579,99.762,66.262375,91.15361538,99.11175,64.72425,48.7066,72.073,87.28016667,71.73971429,86.633,88.25075,58.10485714,79.18133333,69.425,82.68466667,64.8515,54.056
41,GEO,Georgia,2023,75.01713789,88.0635,55.53785714,75.13621429,96.887,61.82925,80.309,79.795,74.19857143,53.10957143,75.1725,83.94475,85.62885714,90.979,61.1032,69.3458,74.30427273,69.947
42,THA,Thailand,2023,74.73862913,98.602,58.642,79.68464286,97.97825,70.688,76.0088,72.743,77.199,67.40942857,73.1555,86.56875,80.63085714,81.6255,64.21766667,60.2188,62.845,62.3395
43,BGR,Bulgaria,2023,74.62004755,99.9835,68.189625,79.283,79.548,71.6325,66.293,71.28766667,82.26371429,66.18857143,51.0345,73.373,75.08371429,84.17266667,65.6684,94.1426,68.5046,71.89175
46,BIH,Bosnia and Herzegovina,2023,74.01986096,99.863,63.80314286,76.87830769,64.14333333,47.127,73.244,71.337,76.868,47.32185714,80.7535,74.637,78.26142857,88.20666667,83.722,81.3236,66.1678,84.68
47,ISR,Israel,2023,73.97033908,98.626,55.39171429,96.33516667,99.58433333,76.098,68.2082,71.72125,84.28933333,94.72957143,71.5535,84.626,66.55742857,67.15266667,37.5392,49.3564,69.59725,66.12975
48,RUS,Russian Federation,2023,73.78628002,98.843,59.07257143,80.25607692,97.117,67.29475,75.1154,64.42325,81.61285714,75.94571429,78.9655,83.35566667,80.56085714,69.881,53.43616667,66.0982,47.7605,74.62825
49,BRA,Brazil,2023,73.68939304,93.3005,68.7175,77.65214286,85.9325,70.368,86.0712,90.61175,76.01157143,68.969,19.859,80.8665,83.52271429,93.86133333,63.77983333,61.653,56.90663636,74.6365
50,ARG,Argentina,2023,73.68521877,96.826,68.66925,81.01092857,97.85,82.61125,77.9412,73.03475,79.16428571,54.57728571,41.061,83.35,78.13528571,88.77466667,61.72416667,60.0204,61.674,66.22425
51,CRI,Costa Rica,2023,73.55689326,93.773,53.907375,88.28771429,99.1685,82.03675,74.5466,85.46025,74.44571429,59.61985714,19.296,90.87675,77.04114286,89.791,56.319,65.1136,73.80618182,66.97775
53,ALB,Albania,2023,73.50609736,98.6285,59.25185714,81.91864286,86.8065,60.8485,73.7458,84.3385,66.18742857,43.613,88.071,77.366,81.69728571,90.576,50.172,79.6008,60.69809091,66.08375
54,VNM,Vietnam,2023,73.32232265,97.0075,73.62975,69.86335714,97.3805,74.3825,74.2558,69.012,76.19914286,58.10528571,70.388,87.812,90.18828571,92.233,47.661,44.574,64.37736364,59.41
56,FJI,Fiji,2023,72.87704416,89.6515,61.233375,71.16769231,93.64233333,59.0315,72.39325,63.353,53.2625,60.35083333,88.118,93.97566667,84.62033333,96.0175,73.07966667,45.7826,71.831,61.399
57,TUN,Tunisia,2023,72.50349745,97.9125,61.53875,78.91871429,93.11866667,50.97175,63.9376,70.20325,62.53557143,55.93942857,80.8475,65.40125,86.689,93.076,63.31216667,70.9024,60.57590909,76.679
58,CYP,Cyprus,2023,72.49166359,99.914,53.66114286,91.0815,93.93675,68.08366667,67.8766,74.06,74.77728571,75.83842857,85.5075,77.8255,50.84985714,68.11366667,50.19033333,79.0112,74.7126,46.91825
61,DOM,Dominican Republic,2023,72.13519314,95.927,75.679375,66.62128571,74.2295,71.8335,67.6394,69.13725,74.393,46.75283333,54.6765,84.3185,83.128,91.827,83.89916667,75.1442,53.30227273,57.7895
62,CHN,China,2023,72.00816749,98.052,83.401125,83.39846154,99.531,78.1855,68.9986,67.7165,78.89728571,80.27371429,34.9295,79.459,86.99928571,77.6405,55.7345,48.935,60.582125,41.40475
64,PER,Peru,2023,71.65907643,86.018,71.42375,80.8245,98.7865,74.927,77.9804,74.35125,74.63885714,44.75114286,33.761,70.45275,87.83928571,93.51233333,78.67566667,55.278,54.26636364,60.7175
66,MNE,Montenegro,2023,71.40438382,98.945,51.76114286,75.6685,88.159,56.857,65.20933333,79.0845,61.567,61.59685714,66.6515,74.71575,70.36733333,92.7875,52.0974,54.258,78.451375,85.69733333
67,MDV,Maldives,2023,71.27199736,100.0,44.6,86.88953846,96.57375,38.50475,73.67125,64.169,72.38633333,47.80116667,92.6525,80.32225,74.76933333,89.7775,63.16066667,51.45,66.44666667,68.44925
69,MAR,Morocco,2023,70.86945567,90.3785,64.697375,73.08585714,78.56875,43.7715,63.4674,69.95,69.12357143,55.07714286,53.9425,76.22475,91.307,94.22633333,71.87266667,76.6588,62.2636,70.165
70,DZA,Algeria,2023,70.83361592,97.673,57.56114286,77.34692857,70.05425,41.0435,58.0126,65.5305,67.45814286,53.87014286,97.015,62.64725,89.18442857,88.62666667,64.7675,67.0636,65.25981818,81.057
71,TUR,TÃ¼rkiye,2023,70.77861136,98.127,65.156,84.55869231,89.42075,47.6235,73.293,72.14933333,69.978,71.88971429,45.031,71.545,82.20657143,86.683,58.6265,53.8654,58.53318182,74.54975
72,SLV,El Salvador,2023,70.65896551,93.9875,56.22275,80.27892857,81.5865,65.16725,72.5926,72.65975,71.72971429,37.59071429,57.7405,86.2915,87.02814286,94.843,43.6065,70.0892,60.44736364,69.3405
73,ECU,Ecuador,2023,70.43423838,83.9455,57.8015,78.3745,90.54675,79.506,75.2924,74.36825,75.86228571,48.93028571,22.1125,76.1415,86.27971429,92.678,80.25116667,57.9468,51.8824,65.4625
74,IDN,Indonesia,2023,70.16289734,86.0555,66.61325,64.84042857,92.18425,63.7675,70.082,64.45825,77.36285714,50.664,60.9145,75.33925,89.69828571,92.49766667,69.75666667,51.4342,64.7139,52.38675
75,COL,Colombia,2023,70.05009086,77.714,65.248125,82.66221429,92.3275,69.4005,79.384,77.57275,71.18414286,49.03428571,12.3945,83.3005,87.69285714,90.087,57.34533333,65.0232,54.34263636,76.138
76,JOR,Jordan,2023,69.87478579,98.6615,56.88525,74.36523077,59.11075,39.806,55.218,72.866,64.64357143,61.041,77.049,74.28275,89.13257143,91.36566667,90.39475,55.1385,65.41581818,62.495
77,MYS,Malaysia,2023,69.8497457,98.879,49.419,80.09521429,88.01225,58.29675,76.2612,68.28525,77.98614286,81.04571429,47.4385,81.754,78.241,77.881,68.2105,38.4356,59.94155556,57.263
78,ARE,United Arab Emirates,2023,69.71476573,99.6705,64.7955,86.21407692,98.168,74.3265,57.963,69.24575,63.70966667,88.26857143,100.0,85.39066667,51.90828571,9.832666667,72.72166667,55.51666667,70.3545,37.065
79,MEX,Mexico,2023,69.70547768,86.266,61.12975,79.70114286,95.9905,80.59675,70.961,68.57725,68.43971429,57.85514286,38.226,83.3645,81.69728571,86.825,62.63366667,55.4426,46.70281818,60.584
80,EGY,"Egypt, Arab Rep.",2023,69.61848903,88.0245,65.252875,69.38561538,67.86375,57.726,65.0694,69.85575,64.92057143,57.92414286,83.9285,68.51175,91.18942857,95.09533333,51.47083333,68.346,60.14236364,58.8075
81,JAM,Jamaica,2023,69.59087411,90.0045,59.067375,78.18257143,81.78266667,78.338,70.0882,64.1845,76.86471429,52.73171429,25.617,83.60333333,81.282,91.00566667,62.2364,56.2224,61.03081818,70.803
82,LKA,Sri Lanka,2023,69.40149899,86.239,68.964625,78.4965,98.91633333,52.4145,50.195,61.78775,79.71285714,53.862,54.5995,76.16466667,90.06071429,95.851,72.7305,56.8934,53.60363636,49.3335
85,IRN,"Iran, Islamic Rep.",2023,69.09183116,93.9585,64.090875,80.56735714,83.0155,42.94925,60.2454,64.33125,62.45328571,67.23042857,48.4705,73.99433333,85.78,80.382,79.409,67.4226,60.4211,59.83975
88,CPV,Cabo Verde,2023,68.83571071,84.865,44.97566667,75.47061538,79.23,76.15,67.392,61.9165,58.66266667,41.0195,41.608,79.5235,81.2655,97.1475,57.0488,71.64025,79.25733333,73.03425
92,MUS,Mauritius,2023,67.9773422,98.0325,71.52333333,75.22978571,83.504,52.29075,71.0915,70.31125,74.622,51.78914286,65.339,87.73066667,74.42666667,91.3925,48.97416667,27.40975,60.78655556,51.16125
94,LBN,Lebanon,2023,67.52014468,98.731,56.64314286,74.33692857,99.617,45.17175,66.2592,61.94933333,54.14728571,73.32333333,84.4435,60.915,80.70928571,86.791,65.7902,57.0446,51.8929,30.077
96,PAN,Panama,2023,67.32492941,94.6965,50.27325,78.94830769,80.69925,66.391,71.2212,71.513,71.17757143,46.609,18.5915,89.992,76.24585714,71.71,70.30666667,66.587,62.08736364,57.47433333
97,PHL,Philippines,2023,67.14368186,80.5085,68.838625,58.24071429,78.49475,64.25425,70.373,58.95375,69.18528571,44.43971429,42.249,73.48025,92.23928571,95.363,74.86716667,58.6328,51.9175,59.405
100,BGD,Bangladesh,2023,65.91095145,79.1025,70.8125,60.49792857,89.706,54.491,67.331,49.7375,74.55514286,40.99366667,81.3485,49.32025,95.63857143,96.3285,65.16533333,53.5936,47.63418182,44.23
103,NIC,Nicaragua,2023,64.79990658,71.735,54.83875,74.8295,77.983,83.88075,66.3406,59.741,67.61628571,30.00542857,23.662,73.15775,87.30771429,96.98233333,61.9385,64.105,49.3703,58.1045
108,NAM,Namibia,2023,64.28167339,61.097,49.93525,49.89435714,83.695,87.63425,56.0122,46.244,64.03814286,38.43571429,5.493,65.16725,83.70116667,91.187,79.36266667,89.8596,64.3756,76.65625
109,ZAF,South Africa,2023,64.0031979,51.704,56.7845,56.95485714,76.629,76.7865,62.4386,59.6945,69.77571429,70.80171429,0.0,80.47325,84.35242857,82.70066667,70.88483333,57.7588,55.118,75.197
111,IND,India,2023,63.44921401,86.2335,54.39175,64.79164286,89.29225,46.254,58.1254,66.2085,73.708,50.96057143,38.4505,50.04625,94.77885714,94.281,62.34316667,45.6134,48.5116,54.64625
112,GAB,Gabon,2023,63.092157,88.682,51.60071429,50.47828571,60.81766667,45.22625,61.365,85.06575,66.62257143,36.15271429,61.8055,54.67025,83.6066,89.9155,65.82816667,83.193,40.2857,47.251
115,HND,Honduras,2023,62.94584397,70.3035,53.925875,70.15578571,61.02225,66.744,72.428,60.73825,67.17214286,28.43028571,20.845,76.902,89.83271429,95.76066667,62.533,69.4354,40.59772727,63.25275
116,VEN,"Venezuela, RB",2023,62.88269669,19.7385,52.42175,62.81884615,81.19475,68.05,76.2892,75.28375,76.61014286,34.78557143,28.5715,71.169,82.566,92.8675,81.286,80.701,32.488,52.16433333
118,STP,Sao Tome and Principe,2023,62.73294667,48.1955,60.65128571,63.55630769,69.07425,51.41525,51.426,38.79575,48.57,29.85816667,48.346,71.13066667,95.80566667,98.5075,79.90766667,81.06225,78.03733333,52.1205
119,CIV,Cote d'Ivoire,2023,62.25928754,73.724,65.3585,43.14807143,53.2135,50.70125,55.2488,47.20025,76.43485714,33.22957143,64.119,50.423,95.74257143,97.79566667,79.258,72.9158,52.8063,47.08875
120,SEN,Senegal,2023,61.8294028,67.873,61.802,57.78757143,31.6605,44.3055,64.811,41.1265,78.71914286,36.92871429,60.258,63.57125,95.02128571,97.57333333,68.4245,66.3012,54.0286,60.90775
121,GHA,Ghana,2023,61.79869089,54.358,70.778625,52.81207143,84.542,54.939,57.6814,50.922,76.42885714,46.75342857,35.215,48.87425,95.44528571,96.56733333,44.86416667,69.4466,64.96372727,45.986
122,KEN,Kenya,2023,60.91303634,49.434,58.452125,51.03028571,71.129,70.0455,46.664,41.5275,75.73257143,39.165,49.549,55.62,94.73428571,98.407,69.818,58.7004,51.0567,54.45625
124,MMR,Myanmar,2023,60.44313051,57.98,65.89975,49.82842857,61.1155,57.457,68.4666,44.60075,66.42042857,30.18471429,87.243,55.39625,94.43857143,97.53466667,47.5674,51.633,41.81690909,49.95025
126,GTM,Guatemala,2023,59.38309832,76.5485,43.4895,68.54428571,72.35025,49.851,69.018,58.1035,71.02128571,23.13985714,20.704,74.07175,90.38914286,95.89233333,55.91666667,45.9638,43.6608,50.848
127,PAK,Pakistan,2023,58.96764175,79.143,43.61571429,45.17753846,59.71366667,37.244,49.4294,50.2125,59.38066667,33.48885714,90.074,43.8835,94.31642857,96.6085,63.27833333,65.8076,42.23845455,48.83775
128,GMB,"Gambia, The",2023,58.30157717,59.359,47.62685714,48.60078571,51.493,43.1245,59.8762,30.4375,65.74085714,24.63914286,69.075,54.94575,96.16828571,99.02433333,63.71725,83.0252,47.7144,46.55875
132,MRT,Mauritania,2023,57.23236891,76.975,42.60285714,51.83964286,47.028,38.6505,58.1606,37.601,50.401,25.602,81.848,45.138,90.70057143,97.197,71.49733333,51.103,51.0441,55.56166667
133,TZA,Tanzania,2023,56.83294186,25.558,60.984375,46.222,48.695,70.79,51.6648,34.32875,73.32442857,27.20942857,50.3775,59.79975,95.27871429,99.08833333,69.7895,59.616,42.88718182,50.54625
135,TGO,Togo,2023,56.26487556,31.4185,60.989125,45.7295,80.10675,42.36625,50.8932,27.2295,70.67257143,23.08971429,41.639,44.536,96.33085714,98.92866667,70.876,77.69775,42.419,51.5805
136,SLE,Sierra Leone,2023,55.66940203,49.1385,56.665375,36.60785714,50.31725,46.6365,49.09,16.49675,67.13571429,14.20457143,69.7005,37.97175,97.824,99.34,78.47316667,63.7444,53.321,59.7125
138,CMR,Cameroon,2023,55.14965887,50.573,61.30457143,39.82707143,49.24775,56.03025,55.969,49.14375,68.81914286,29.423,23.0985,42.426,96.35,98.12933333,73.699,63.5434,36.23218182,43.72825
139,BEN,Benin,2023,55.1176285,57.2005,65.352625,41.99057143,57.28,34.1985,49.4148,11.8005,76.02757143,25.91466667,61.993,39.12475,96.91116667,97.82133333,59.989,66.4124,45.9738,49.5945
141,GIN,Guinea,2023,54.88727619,60.4645,58.15514286,32.33971429,33.41325,28.019,51.699,27.68925,67.76428571,13.28128571,91.7615,52.7455,96.51283333,98.382,57.831,69.0438,38.9823,54.99933333
145,NGA,Nigeria,2023,54.27087045,49.9235,61.065875,36.196,38.75066667,39.22425,59.7088,24.98075,66.56766667,40.60571429,72.796,29.44225,95.55628571,96.745,62.07816667,76.3636,34.67027273,37.93
147,PNG,Papua New Guinea,2023,53.60445304,30.792,33.94866667,43.23092308,53.8835,48.38875,42.4882,36.958,76.9334,9.679857143,43.6875,71.8105,96.46457143,95.151,72.13383333,64.0815,52.092,39.5515
148,MOZ,Mozambique,2023,52.68726507,3.1545,54.29075,31.65215385,55.08966667,64.95275,54.6988,35.58725,66.87242857,14.08914286,12.676,62.79875,97.89271429,98.29966667,72.02283333,63.1136,47.6085,60.884
149,DJI,Djibouti,2023,52.67871036,64.737,53.02485714,50.91278571,24.33366667,39.34466667,57.6956,16.7075,53.5665,36.52666667,44.391,71.01066667,87.7575,90.625,57.5865,37.5625,56.538,53.21766667
150,COG,"Congo, Rep.",2023,52.63154388,24.022,53.156,45.59564286,47.32,54.806,51.9926,44.1345,54.18571429,8.091666667,19.859,51.24025,95.2836,92.18066667,72.0104,83.5404,48.19355556,49.12425
151,HTI,Haiti,2023,52.57651422,42.156,51.235875,40.6895,68.967,41.79025,54.3334,22.5685,57.718,23.46866667,47.251,39.74475,93.952,98.83033333,64.957,64.9938,37.349,43.79566667
153,COM,Comoros,2023,51.73064216,51.769,45.2495,55.2605,39.42775,33.92825,49.00975,39.2015,43.47133333,21.66066667,25.617,52.1295,95.7825,99.085,43.063,71.2255,52.49016667,61.05
154,AGO,Angola,2023,50.81798457,33.2195,54.785375,35.15078571,44.64475,49.715,54.2946,43.601,58.96728571,13.71114286,16.479,43.2265,94.145,96.3165,67.42766667,66.2902,41.55818182,50.37325
155,MDG,Madagascar,2023,50.25456036,4.2355,53.48075,32.94171429,54.5255,68.123,44.8658,36.618,64.71342857,10.25657143,40.17,52.975,96.69542857,99.35166667,65.88366667,49.489,37.354,42.6485
156,LBR,Liberia,2023,49.88381024,26.398,47.77614286,32.81507692,37.13325,44.108,53.002,13.282,66.44614286,11.58628571,72.1075,29.805,96.1226,98.843,83.52716667,48.1982,41.01290909,45.8615
158,COD,"Congo, Dem. Rep.",2023,48.58170068,8.1545,51.681375,34.23714286,42.65966667,43.17475,43.184,28.854,60.48057143,14.408,43.0305,35.67,97.67616667,99.56066667,77.88675,69.7746,36.17722222,39.279
159,SDN,Sudan,2023,48.5525944,32.5415,21.89833333,51.92142857,31.7955,42.60925,32.6,55.1195,44.17885714,15.40028571,75.0325,34.808,97.2502,99.139,61.7228,49.249,43.8482,36.27975
161,SOM,Somalia,2023,48.02723119,11.274,27.30683333,17.86092308,55.639,25.861,49.3006,43.31575,55.6695,5.599857143,73.803,69.41766667,94.129,99.92533333,50.2512,53.3714,40.0122,43.72566667
162,YEM,"Yemen, Rep.",2023,46.84698025,4.5525,28.76971429,44.46742857,41.76675,13.05475,36.2314,36.916,53.2378,14.22371429,66.2925,52.95275,95.95914286,98.667,74.93666667,48.3705,35.90571429,50.09433333
